amount,path length,time,found
6,1,0.000349032,0
7,2,0.000512846,0
8,10,0.00144582,0
9,5,0.00125647,0
10,5,0.0014971,0
11,8,0.00288068,0
12,9,0.00426756,0
13,13,0.00387102,0
14,17,0.00466173,0
15,15,0.00576738,0
16,12,0.00631827,0
17,15,0.00660142,0
18,26,0.007565,0
19,10,0.0100372,0
20,18,0.0114272,0
21,41,0.0127093,0
22,13,0.0147261,0
23,13,0.018123,0
24,33,0.0151386,0
25,36,0.0189476,0
26,15,0.0207687,0
27,15,0.0217595,0
28,17,0.022304,0
29,17,0.0296669,0
30,19,0.0264074,0
31,42,0.0303294,0
32,20,0.0314991,0
33,69,0.0391844,0
34,58,0.0385616,0
35,49,0.0432612,0
36,70,0.050387,0
amount,path length,time,found
1,0,0.00016319,0
2,0,8.3844e-05,0
3,0,8.8496e-05,0
4,0,8.9349e-05,0
5,2,0.000404633,0
6,0,9.9149e-05,0
7,8,0.00110967,0
8,3,0.000851775,0
9,3,0.000988068,0
10,5,0.00155293,0
11,9,0.00244596,0
12,11,0.00320799,0
13,20,0.00382336,0
14,16,0.0038056,0
15,17,0.00498124,0
16,15,0.00687388,0
17,25,0.00706185,0
18,21,0.00855825,0
19,8,0.00843277,0
20,19,0.0108009,0
21,13,0.0103898,0
22,10,0.0126832,0
23,12,0.0153171,0
24,33,0.0155681,0
25,15,0.017392,0
26,41,0.0212497,0
27,50,0.0252944,0
28,53,0.0299649,0
29,35,0.0291694,0
30,18,0.0276464,0
31,19,0.0326461,0
32,22,0.0306131,0
33,68,0.0388802,0
34,24,0.0345613,0
35,25,0.0376819,0
36,53,0.0440717,0
amount,path length,time,found
1,0,0.000226051,0
2,0,8.2934e-05,0
3,0,9.225e-05,0
4,0,9.2769e-05,0
5,0,9.6485e-05,0
6,4,0.000662896,0
7,3,0.000690514,0
8,1,0.000526197,0
9,10,0.00186266,0
10,13,0.0022509,0
11,7,0.0021799,0
12,15,0.00351414,0
13,8,0.00316646,0
14,9,0.00405041,0
15,21,0.00555932,0
16,5,0.00548033,0
17,10,0.00570141,0
18,13,0.00705272,0
19,7,0.0078652,0
20,28,0.010186,0
21,12,0.0105095,0
22,31,0.0113343,0
23,29,0.0159115,0
24,14,0.0168727,0
25,25,0.0168043,0
26,39,0.0173042,0
27,39,0.0240929,0
28,16,0.0232127,0
29,17,0.0271995,0
30,45,0.0261517,0
31,47,0.0292607,0
32,21,0.0335571,0
33,46,0.0322083,0
34,22,0.0381826,0
35,49,0.0444198,0
36,25,0.0486794,0
amount,path length,time,found
1,0,9.0766e-05,0
2,0,9.2116e-05,0
3,2,0.000313527,0
4,0,7.6848e-05,0
5,0,6.8095e-05,0
6,4,0.000529544,0
7,3,0.000788444,0
8,2,0.000568902,0
9,9,0.00131567,0
10,5,0.00159029,0
11,6,0.00215671,0
12,9,0.00282269,0
13,16,0.0036867,0
14,12,0.00410279,0
15,8,0.00456008,0
16,32,0.00653994,0
17,12,0.00547982,0
18,14,0.00789163,0
19,23,0.00917495,0
20,14,0.00864753,0
21,17,0.00964778,0
22,12,0.0122955,0
23,25,0.0154977,0
24,13,0.0184753,0
25,31,0.0186485,0
26,14,0.0193239,0
27,39,0.0188202,0
28,17,0.0220538,0
29,38,0.0267254,0
30,19,0.025983,0
31,45,0.0287522,0
32,21,0.0311419,0
33,25,0.0295542,0
34,48,0.0367211,0
35,57,0.0349632,0
36,53,0.0461579,0
amount,path length,time,found
1,0,7.1203e-05,0
2,2,0.000121868,1
3,1,0.000164557,0
4,0,6.892e-05,0
5,0,7.2772e-05,0
6,2,0.00049613,0
7,5,0.000863654,0
8,5,0.00100067,0
9,1,0.000871957,0
10,3,0.00126691,0
11,15,0.00258588,0
12,9,0.00325348,0
13,4,0.0027654,0
14,10,0.00369491,0
15,11,0.00479089,0
16,23,0.00745453,0
17,19,0.00662248,0
18,17,0.00838834,0
19,10,0.00858481,0
20,12,0.00926663,0
21,22,0.0101509,0
22,15,0.0103731,0
23,38,0.0174772,0
24,16,0.0158727,0
25,47,0.0224584,0
26,31,0.0233283,0
27,13,0.0217837,0
28,32,0.0278074,0
29,19,0.0272261,0
30,20,0.02577,0
31,62,0.0328608,0
32,22,0.0316804,0
33,23,0.0334842,0
34,62,0.0400599,0
35,24,0.0442803,0
36,55,0.0435724,0
amount,path length,time,found
1,0,0.000107334,0
2,1,0.000108755,4
3,2,0.00015607,2.66667
4,3,0.000192003,2
5,4,0.000200283,1.4
6,6,0.000394403,1.8125
7,8,0.000641618,1.91667
8,9,0.000902323,2.0303
9,10,0.00129565,2.27907
10,11,0.00171183,2.37037
11,12,0.00219342,2.39394
12,14,0.00256315,1.875
13,15,0.00238574,1.72632
14,16,0.00322773,1.86486
15,18,0.00401677,1.95349
16,19,0.00558725,2.12838
17,20,0.00671928,2.2619
18,20,0.00654464,2.02128
19,20,0.00693341,1.82692
20,20,0.00689754,1.66667
21,20,0.00718871,1.53226
22,20,0.00675723,1.41791
23,20,0.00702163,1.31944
24,20,0.00695914,1.23377
25,20,0.00689481,1.15854
26,20,0.00755612,1.09195
27,20,0.0069479,1.03261
28,20,0.00690538,0.979381
29,20,0.00689613,0.931373
30,20,0.00684885,0.88785
31,20,0.00696511,0.848214
32,20,0.00659765,0.811966
33,20,0.00635804,0.778689
34,20,0.00629643,0.748031
35,20,0.00701921,0.719697
36,20,0.00686286,0.693431
amount,path length,time,found
1,0,8.471e-05,0
2,1,9.8925e-05,4
3,2,0.000128989,2.66667
4,3,0.000140338,2
5,4,0.000178513,1.4
6,6,0.000403207,1.8125
7,8,0.000608139,1.91667
8,9,0.000842192,2.0303
9,10,0.00122936,2.27907
10,11,0.00165847,2.37037
11,12,0.00218182,2.39394
12,14,0.00328783,1.875
13,15,0.00264232,1.72632
14,16,0.0031851,1.86486
15,18,0.00410263,1.95349
16,19,0.00540308,2.12838
17,20,0.00714011,2.2619
18,20,0.00636863,2.02128
19,20,0.00634187,1.82692
20,20,0.00655427,1.66667
21,20,0.0074875,1.53226
22,20,0.00667683,1.41791
23,20,0.00647962,1.31944
24,20,0.00640514,1.23377
25,20,0.00633655,1.15854
26,20,0.00721062,1.09195
27,20,0.00674336,1.03261
28,20,0.00716074,0.979381
29,20,0.00752047,0.931373
30,20,0.00729352,0.88785
31,20,0.00725591,0.848214
32,20,0.00647017,0.811966
33,20,0.00664683,0.778689
34,20,0.00639357,0.748031
35,20,0.00668118,0.719697
36,20,0.00685824,0.693431
amount,path length,time,found
1,0,0.000128897,0
2,1,0.000130397,4
3,2,0.000146638,2.66667
4,3,0.000199993,2
5,4,0.000217498,1.4
6,6,0.000421077,1.8125
7,8,0.000680511,1.91667
8,9,0.000904029,2.0303
9,10,0.00133351,2.27907
10,11,0.00174996,2.37037
11,12,0.00221879,2.39394
12,14,0.00220744,1.875
13,15,0.00250459,1.72632
14,16,0.00329053,1.86486
15,18,0.00425192,1.95349
16,19,0.00544881,2.12838
17,20,0.00674016,2.2619
18,20,0.00664452,2.02128
19,20,0.00638105,1.82692
20,20,0.00650481,1.66667
21,20,0.00668123,1.53226
22,20,0.00697742,1.41791
23,20,0.00665833,1.31944
24,20,0.0066148,1.23377
